00000000&Charles&Xavier&X-MEN&Otro&MALE&12345678&01.01.1990 00:00
00000042&Yordi&Norero&UC&Casa Yordi&MALE&12345678&22.09.1990 00:00
00000043&Carolina&Becerra&UC&Casa Becerra&FEMALE&12345678&22.09.1990 00:00
00000044&Jorge&Vera&UC&Casa Vera&MALE&12345678&22.01.1990 00:00
00000045&Jorge&Baier&UC&Casa Baier&MALE&12345678&22.01.1990 00:00
00000046&Cristian&Riveros&UC&Casa Riveros&MALE&12345678&12.09.1990 00:00
00000047&Benjamin&Barros&UC&Casa Barros&MALE&12345678&15.09.1990 00:00
00000048&Raul&Montes&UC&Casa Montes&MALE&12345678&14.10.1991 00:00
00000049&Jose&Saavedra&UC&Casa Saavedra&MALE&12345678&14.08.1991 00:00
00000050&Jesus&De Nazareth&UC&Nazareth&MALE&12345678&25.12.1981 00:00
00000051&Jaime&Navon&UC&Casa Navon&MALE&12345678&05.02.1990 00:00
00000052&Alvaro&Soto&UC&Casa Soto&MALE&12345678&07.09.1990 00:00
00000053&Rodrigo&Cadiz&UC&Casa Cadiz&MALE&12345678&07.09.1990 00:00
00000054&Daniel&Olivares&UC&Casa Olivares&MALE&12345678&07.09.1990 00:00
00000055&Sebastian&Rios&UC&Casa Rios&MALE&12345678&07.09.1990 00:00
00000056&Angel&Abusleme&UC&Casa Abusleme&MALE&12345678&07.09.1990 00:00
00000057&Christian&Oberli&UC&Casa Oberli&MALE&12345678&07.09.1990 00:00
00000058&Matias&Negrete&UC&Casa Negrete&MALE&12345678&07.09.1990 00:00
00000059&Diego&Avila&UC&Casa Avila&MALE&12345678&07.09.1990 00:00
00000060&Enrique&Alvarez&UC&Casa Alvarez&MALE&12345678&07.09.1990 00:00
00000061&Mario&Saez&UC&Casa Saez&MALE&12345678&07.09.1990 00:00
00000062&Sergio&Uribe&UC&Casa Uribe&MALE&12345678&07.09.1990 00:00
00000063&Juan&Dixon&UC&Casa Dixon&MALE&12345678&07.09.1990 00:00
00000064&Sergio&Diaz&UC&Casa Diaz&MALE&12345678&07.09.1990 00:00
00000065&Marianov&Vladimir&UC&Casa Marianov&MALE&12345678&07.09.1990 00:00
